site,height,N,T1,T2,dec,inc,a95,k
K5,2870,4,25–75,150–250,134.0,53.1,1.3,51.5
K3,2822,3,25,175–325,80.8,68.1,0.4,799.9
K2,2792,4,25–50,150–225,70.1,73.3,2.9,10.3
K1,2768,4,25,150–275,113.6,74.3,0.8,125.6
J6,2690,3,25,175–200,105.3,44.3,0.7,248.8
J3,2580,3,25–75,200–325,218.1,65.9,2.5,19.0
I3,2390,3,25–75,225–275,320.9,66.6,1.9,32.2
H6,2300,4,25,150–250,310.4,75.7,1.6,33.7
H5,2270,4,25–50,175–275,112.8,63.8,1.6,33.3
H4,2240,4,25–50,150–250,85.4,86.3,2.4,15.0
H3,2200,3,25–50,275–325,324.0,75.6,2.1,27.4
H1,2100,4,25–75,200–275,70.7,69.8,0.9,104.4
F8,1757,4,25,150–250,33.8,75.8,1.5,41.3
D1,1721,4,50,270,33.1,75.5,1.8,28.2
F7,1718,4,25,175–225,101.1,57.9,0.5,286.5
F6,1664,3,25–50,175–200,184.3,86.5,0.0,51013.3
D3,1621,3,50,180–240,97.2,63.4,0.2,3768.5
F4,1557,4,30–120,180–270,212.9,84.0,1.6,34.6
D2,1511,4,50,180–240,105.7,50.4,1.6,34.9
F3,1505,4,30–90,180–270,192.9,81.9,0.3,1092.9
F2,1446,4,30–90,150–270,67.8,86.1,1.2,62.6
F1,1405,4,30–120,210–270,116.8,50.9,1.1,69.1
C4,984,3,50–120,270,80.3,49.6,2.4,20.6
E4,948,4,30,210–300,101.6,84.7,1.1,75.7
C3,940,4,50,270–330,93.9,57.3,1.3,53.6
E3,875,3,30,210–270,115.5,66.6,0.7,273.4
C2,870,4,50–120,240–300,121.3,46.4,1.5,37.6
E2,818,4,30,210–270,111.1,63.1,1.2,64.0
C1,790,4,50,210–240,103.1,64.5,0.3,1006.5
B3,731,4,50,210–270,109.5,48.1,3.0,9.8
B2,640,3,50,210–240,92.1,58.7,0.5,429.3
